;NO;FR;ES;CH;SE;DE;AT;IT;BG;HR;PT;RO;CZ;HU;BA;RS;SI;FI;PL;SK;MK;ME
2015-01-01 00:00:00;5286.9;1396.4;4004.3;405.8;3792.2;1617.3;142.2;337.1;320.4;750.6;446.9;386.8;179.4;27.8;397.9;69.9;262.7;1366.1;259.6;439.5;96.8;104.5
2015-01-01 01:00:00;5286.9;1396.4;4004.3;405.8;3792.2;1617.3;142.2;337.1;320.4;750.6;446.9;386.8;179.4;27.8;397.9;69.9;262.7;1366.1;259.6;439.5;96.8;104.5
2015-01-01 02:00:00;5286.9;1396.4;4004.3;405.8;3792.2;1617.3;142.2;337.1;320.4;750.6;446.9;386.8;179.4;27.8;397.9;69.9;262.7;1366.1;259.6;439.5;96.8;104.5
2015-01-01 03:00:00;5286.9;1396.4;4004.3;405.8;3792.2;1617.3;142.2;337.1;320.4;750.6;446.9;386.8;179.4;27.8;397.9;69.9;262.7;1366.1;259.6;439.5;96.8;104.5
2015-01-01 04:00:00;5286.9;1396.4;4004.3;405.8;3792.2;1617.3;142.2;337.1;320.4;750.6;446.9;386.8;179.4;27.8;397.9;69.9;262.7;1366.1;259.6;439.5;96.8;104.5
2015-01-01 05:00:00;5286.9;1396.4;4004.3;405.8;3792.2;1617.3;142.2;337.1;320.4;750.6;446.9;386.8;179.4;27.8;397.9;69.9;262.7;1366.1;259.6;439.5;96.8;104.5
2015-01-01 06:00:00;5286.9;1396.4;4004.3;405.8;3792.2;1617.3;142.2;337.1;320.4;750.6;446.9;386.8;179.4;27.8;397.9;69.9;262.7;1366.1;259.6;439.5;96.8;104.5
2015-01-01 07:00:00;5286.9;1396.4;4004.3;405.8;3792.2;1617.3;142.2;337.1;320.4;750.6;446.9;386.8;179.4;27.8;397.9;69.9;262.7;1366.1;259.6;439.5;96.8;104.5
2015-01-01 08:00:00;5286.9;1396.4;4004.3;405.8;3792.2;1617.3;142.2;337.1;320.4;750.6;446.9;386.8;179.4;27.8;397.9;69.9;262.7;1366.1;259.6;439.5;96.8;104.5
2015-01-01 09:00:00;5286.9;1396.4;4004.3;405.8;3792.2;1617.3;142.2;337.1;320.4;750.6;446.9;386.8;179.4;27.8;397.9;69.9;262.7;1366.1;259.6;439.5;96.8;104.5
