;NO;FR;ES;CH;SE;DE;AT;IT;BG;HR;PT;RO;CZ;HU;BA;RS;SI;FI;PL;SK;MK;ME
2015-01-01 00:00:00;16733.9;2114.7;3094.6;971.1;9775.9;3066.5;290.8;655.1;421.1;874.8;293.9;538.9;237.8;27.9;424.0;62.4;462.2;2693.9;400.0;392.4;125.5;141.5
2015-01-01 01:00:00;16733.9;2114.7;3094.6;971.1;9775.9;3066.5;290.8;655.1;421.1;874.8;293.9;538.9;237.8;27.9;424.0;62.4;462.2;2693.9;400.0;392.4;125.5;141.5
2015-01-01 02:00:00;16733.9;2114.7;3094.6;971.1;9775.9;3066.5;290.8;655.1;421.1;874.8;293.9;538.9;237.8;27.9;424.0;62.4;462.2;2693.9;400.0;392.4;125.5;141.5
2015-01-01 03:00:00;16733.9;2114.7;3094.6;971.1;9775.9;3066.5;290.8;655.1;421.1;874.8;293.9;538.9;237.8;27.9;424.0;62.4;462.2;2693.9;400.0;392.4;125.5;141.5
2015-01-01 04:00:00;16733.9;2114.7;3094.6;971.1;9775.9;3066.5;290.8;655.1;421.1;874.8;293.9;538.9;237.8;27.9;424.0;62.4;462.2;2693.9;400.0;392.4;125.5;141.5
2015-01-01 05:00:00;16733.9;2114.7;3094.6;971.1;9775.9;3066.5;290.8;655.1;421.1;874.8;293.9;538.9;237.8;27.9;424.0;62.4;462.2;2693.9;400.0;392.4;125.5;141.5
2015-01-01 06:00:00;16733.9;2114.7;3094.6;971.1;9775.9;3066.5;290.8;655.1;421.1;874.8;293.9;538.9;237.8;27.9;424.0;62.4;462.2;2693.9;400.0;392.4;125.5;141.5
2015-01-01 07:00:00;16733.9;2114.7;3094.6;971.1;9775.9;3066.5;290.8;655.1;421.1;874.8;293.9;538.9;237.8;27.9;424.0;62.4;462.2;2693.9;400.0;392.4;125.5;141.5
2015-01-01 08:00:00;16733.9;2114.7;3094.6;971.1;9775.9;3066.5;290.8;655.1;421.1;874.8;293.9;538.9;237.8;27.9;424.0;62.4;462.2;2693.9;400.0;392.4;125.5;141.5
2015-01-01 09:00:00;16733.9;2114.7;3094.6;971.1;9775.9;3066.5;290.8;655.1;421.1;874.8;293.9;538.9;237.8;27.9;424.0;62.4;462.2;2693.9;400.0;392.4;125.5;141.5
2015-01-01 10:00:00;16733.9;2114.7;3094.6;971.1;9775.9;3066.5;290.8;655.1;421.1;874.8;293.9;538.9;237.8;27.9;424.0;62.4;462.2;2693.9;400.0;392.4;125.5;141.5
2015-01-01 11:00:00;16733.9;2114.7;3094.6;971.1;9775.9;3066.5;290.8;655.1;421.1;874.8;293.9;538.9;237.8;27.9;424.0;62.4;462.2;2693.9;400.0;392.4;125.5;141.5
2015-01-01 12:00:00;16733.9;2114.7;3094.6;971.1;9775.9;3066.5;290.8;655.1;421.1;874.8;293.9;538.9;237.8;27.9;424.0;62.4;462.2;2693.9;400.0;392.4;125.5;141.5
2015-01-01 13:00:00;16733.9;2114.7;3094.6;971.1;9775.9;3066.5;290.8;655.1;421.1;874.8;293.9;538.9;237.8;27.9;424.0;62.4;462.2;2693.9;400.0;392.4;125.5;141.5
2015-01-01 14:00:00;16733.9;2114.7;3094.6;971.1;9775.9;3066.5;290.8;655.1;421.1;874.8;293.9;538.9;237.8;27.9;424.0;62.4;462.2;2693.9;400.0;392.4;125.5;141.5
2015-01-01 15:00:00;16733.9;2114.7;3094.6;971.1;9775.9;3066.5;290.8;655.1;421.1;874.8;293.9;538.9;237.8;27.9;424.0;62.4;462.2;2693.9;400.0;392.4;125.5;141.5
2015-01-01 16:00:00;16733.9;2114.7;3094.6;971.1;9775.9;3066.5;290.8;655.1;421.1;874.8;293.9;538.9;237.8;27.9;424.0;62.4;462.2;2693.9;400.0;392.4;125.5;141.5
2015-01-01 17:00:00;16733.9;2114.7;3094.6;971.1;9775.9;3066.5;290.8;655.1;421.1;874.8;293.9;538.9;237.8;27.9;424.0;62.4;462.2;2693.9;400.0;392.4;125.5;141.5
2015-01-01 18:00:00;16733.9;2114.7;3094.6;971.1;9775.9;3066.5;290.8;655.1;421.1;874.8;293.9;538.9;237.8;27.9;424.0;62.4;462.2;2693.9;400.0;392.4;125.5;141.5
2015-01-01 19:00:00;16733.9;2114.7;3094.6;971.1;9775.9;3066.5;290.8;655.1;421.1;874.8;293.9;538.9;237.8;27.9;424.0;62.4;462.2;2693.9;400.0;392.4;125.5;141.5
2015-01-01 20:00:00;16733.9;2114.7;3094.6;971.1;9775.9;3066.5;290.8;655.1;421.1;874.8;293.9;538.9;237.8;27.9;424.0;62.4;462.2;2693.9;400.0;392.4;125.5;141.5
2015-01-01 21:00:00;16733.9;2114.7;3094.6;971.1;9775.9;3066.5;290.8;655.1;421.1;874.8;293.9;538.9;237.8;27.9;424.0;62.4;462.2;2693.9;400.0;392.4;125.5;141.5
2015-01-01 22:00:00;16733.9;2114.7;3094.6;971.1;9775.9;3066.5;290.8;655.1;421.1;874.8;293.9;538.9;237.8;27.9;424.0;62.4;462.2;2693.9;400.0;392.4;125.5;141.5
2015-01-01 23:00:00;16733.9;2114.7;3094.6;971.1;9775.9;3066.5;290.8;655.1;421.1;874.8;293.9;538.9;237.8;27.9;424.0;62.4;462.2;2693.9;400.0;392.4;125.5;141.5
2015-01-02 00:00:00;15727.6;2128.9;3150.3;1080.5;9635.5;2673.9;283.7;693.1;442.9;813.5;310.4;560.8;229.4;29.0;410.9;64.0;451.2;2729.8;432.9;406.8;124.0;131.7
2015-01-02 01:00:00;15727.6;2128.9;3150.3;1080.5;9635.5;2673.9;283.7;693.1;442.9;813.5;310.4;560.8;229.4;29.0;410.9;64.0;451.2;2729.8;432.9;406.8;124.0;131.7
2015-01-02 02:00:00;15727.6;2128.9;3150.3;1080.5;9635.5;2673.9;283.7;693.1;442.9;813.5;310.4;560.8;229.4;29.0;410.9;64.0;451.2;2729.8;432.9;406.8;124.0;131.7
2015-01-02 03:00:00;15727.6;2128.9;3150.3;1080.5;9635.5;2673.9;283.7;693.1;442.9;813.5;310.4;560.8;229.4;29.0;410.9;64.0;451.2;2729.8;432.9;406.8;124.0;131.7
2015-01-02 04:00:00;15727.6;2128.9;3150.3;1080.5;9635.5;2673.9;283.7;693.1;442.9;813.5;310.4;560.8;229.4;29.0;410.9;64.0;451.2;2729.8;432.9;406.8;124.0;131.7
2015-01-02 05:00:00;15727.6;2128.9;3150.3;1080.5;9635.5;2673.9;283.7;693.1;442.9;813.5;310.4;560.8;229.4;29.0;410.9;64.0;451.2;2729.8;432.9;406.8;124.0;131.7
2015-01-02 06:00:00;15727.6;2128.9;3150.3;1080.5;9635.5;2673.9;283.7;693.1;442.9;813.5;310.4;560.8;229.4;29.0;410.9;64.0;451.2;2729.8;432.9;406.8;124.0;131.7
2015-01-02 07:00:00;15727.6;2128.9;3150.3;1080.5;9635.5;2673.9;283.7;693.1;442.9;813.5;310.4;560.8;229.4;29.0;410.9;64.0;451.2;2729.8;432.9;406.8;124.0;131.7
