countries,MPI-ESM-LR-RCA4,EC-EARTH-RCA4,EC-EARTH-HIRHAM5,CNRM-CM5-RCA4,HadGEM2-ES-RCA4,HadGEM2-ES-HIRHAM5,NorESM1-M-RCA4,NorESM1-M-HIRHAM5,0,0
Norway,6.5,13.6,8.0,13.2,1.9,5.9,7.5,8.1,0.0,0.0
France,-7.3,-4.6,-2.1,-1.9,-19.5,-21.0,-4.8,-2.2,0.0,0.0
Spain,-14.8,-11.8,-12.9,-7.2,-23.1,-30.8,-3.1,-10.4,0.0,0.0
Switzerland,-8.8,-3.9,4.9,-0.1,-21.1,-9.1,-6.2,2.4,0.0,0.0
Sweden,6.0,18.6,8.3,15.9,6.2,9.1,9.1,9.9,0.0,0.0
Germany,5.0,5.2,11.7,17.3,5.5,4.0,6.4,5.3,0.0,0.0
Austria,-6.6,-5.0,5.9,0.9,-6.6,-7.3,-2.6,0.7,0.0,0.0
Italy,-9.5,-8.8,0.2,0.1,-17.6,-15.0,-2.3,0.9,0.0,0.0
Bulgaria,-13.7,-8.3,5.5,-2.0,-8.0,-1.5,0.4,1.3,0.0,0.0
Croatia,-18.6,-4.7,5.7,-6.5,-22.2,-23.9,-3.7,-4.4,0.0,0.0
Portugal,-14.4,-2.4,-11.2,-0.6,-17.8,-30.8,1.0,-13.3,0.0,0.0
Romania,-6.5,2.7,5.7,1.4,8.6,4.2,-2.6,-2.8,0.0,0.0
Czech_Republic,0.9,-1.1,14.9,23.7,22.3,2.9,-3.1,-1.3,0.0,0.0
Hungary,-3.2,6.3,8.7,12.1,16.2,-4.0,13.1,7.3,0.0,0.0
Bosnia_and_Herzegovina,-14.5,-6.8,7.5,-6.1,-17.9,-15.4,-0.6,-6.3,0.0,0.0
Serbia,-15.6,-6.7,9.8,-4.4,-12.6,-11.3,2.4,-10.4,0.0,0.0
Slovenia,-6.3,-8.5,3.7,1.3,-8.2,-16.8,-3.3,-2.1,0.0,0.0
Finland,9.5,16.6,8.9,23.3,12.8,22.0,10.6,11.6,0.0,0.0
Poland,2.1,10.1,12.6,18.0,20.7,11.5,8.9,8.8,0.0,0.0
Slovakia,7.1,3.0,12.5,20.1,9.1,6.3,8.0,8.1,0.0,0.0
North_Macedonia,-14.3,-13.7,0.9,-3.9,-16.8,-14.3,-4.4,-10.1,0.0,0.0
Montenegro,-9.5,-2.5,9.0,-4.3,-15.6,-15.4,4.5,-4.0,0.0,0.0
